Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Total Routes,Climb Time,Max Ascent,Sends,Total Ascent,Falls,Total Rest,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,2023-09-01 14:35:00,false,"Pull + Extension","0.00","177","00:40:37","106","145","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","101","10","--","--","--","--","--","--","--","0:00","31.0","0:00","No","40:37.23","1","32.0","--","--","--","--","--","--","--","--","00:13:17","00:40:37","--","--"
Cardio,2023-08-31 17:52:50,false,"Jump Rope","0.00","150","00:19:10","135","157","2.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","31.0","0:00","No","19:09.94","1","32.0","--","--","--","--","--","--","--","--","00:00:00","00:19:10","1,070","1,073"
Strength Training,2023-08-31 10:43:00,false,"Push + Flexion","0.00","152","00:29:43","114","139","1.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","80","10","--","--","--","--","--","--","--","0:00","31.0","0:00","No","29:43.18","1","32.0","--","--","--","--","--","--","--","--","00:12:58","00:29:43","--","--"
Walking,2023-08-31 06:33:51,false,"Kocasinan Walking","2.87","173","00:32:01","127","137","1.4","111","117","11:09","10:31","1","--","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","23.0","0:00","No","09:41.67","3","25.0","--","--","--","--","--","--","--","--","00:31:56","00:32:01","1,049","1,051"
Running,2023-08-31 06:06:14,false,"Kocasinan Running","2.60","186","00:26:55","136","178","2.5","114","219","10:20","3:54","1","--","0.84","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","22.0","0:00","No","03:15.30","4","28.0","--","--","--","--","--","--","--","--","00:26:27","00:26:55","1,049","1,050"
Indoor Climbing,2023-08-29 13:52:38,false,"Boulderhane #6","--","952","02:57:28","126","157","2.6","--","--","--","--","76","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","27","1:14:52","7","18","76","24","1:42:35","0:00","28.0","0:00","No","02:57:28.03","1","33.0","--","--","--","--","--","--","--","--","00:00:00","02:57:30","131","143"
Indoor Climbing,2023-08-27 17:27:17,false,"Boulderhane #5","--","753","02:17:28","123","161","2.4","--","--","--","--","61","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","19","44:57","6","14","61","13","1:32:31","0:00","28.0","0:00","No","02:17:27.78","1","31.0","--","--","--","--","--","--","--","--","00:00:00","02:17:46","127","135"
Strength Training,2023-08-25 23:52:00,false,"Push + Lateral","0.00","105","00:25:04","101","122","0.6","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","77","10","--","--","--","--","--","--","--","0:00","30.0","0:00","No","25:03.55","1","32.0","--","--","--","--","--","--","--","--","00:11:56","00:25:04","--","--"
Strength Training,2023-08-24 20:29:00,false,"Pull + Flexion","0.00","152","00:36:42","102","137","0.6","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","85","9","--","--","--","--","--","--","--","0:00","31.0","0:00","No","36:41.68","1","32.0","--","--","--","--","--","--","--","--","00:08:18.3","00:36:42","--","--"
Strength Training,2023-08-21 20:58:00,false,"Pulll + Extension","0.00","191","00:38:40","111","141","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","91","12","--","--","--","--","--","--","--","0:00","29.0","0:00","No","38:40.14","1","30.0","--","--","--","--","--","--","--","--","00:13:38","00:38:40","--","--"
Indoor Climbing,2023-08-18 19:24:11,false,"Boulderhane #4","--","695","02:15:02","122","155","2.3","--","--","--","--","26","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","14","1:09:32","5","5","26","24","1:05:30","0:00","29.0","0:00","No","02:15:01.95","1","32.0","--","--","--","--","--","--","--","--","00:00:00","02:23:26","125","135"
Strength Training,2023-08-18 15:34:00,false,"Squat","0.00","71","00:15:35","102","156","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","45","6","--","--","--","--","--","--","--","0:00","31.0","0:00","No","15:35.07","1","32.0","--","--","--","--","--","--","--","--","00:06:19.8","00:15:35","--","--"
Strength Training,2023-08-17 01:33:14,false,"Strength","0.00","120","00:24:21","109","132","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","64","8","--","--","--","--","--","--","--","0:00","30.0","0:00","No","24:21.50","1","31.0","--","--","--","--","--","--","--","--","00:11:08","00:24:21","--","--"
Strength Training,2023-08-16 02:01:00,false,"Push and Flexion","0.00","104","00:23:53","101","158","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","82","9","--","--","--","--","--","--","--","0:00","31.0","0:00","No","23:52.68","1","32.0","--","--","--","--","--","--","--","--","00:09:56.2","00:24:25","--","--"
Assistance Requested,2023-08-16 01:10:58,false,"Sisli Assistance Requested","0.02","2","00:00:52.7","73","77","0.0","--","--","1.4","11.5","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","33.0","0:00","No","00:52.69","1","34.0","--","--","--","--","--","--","--","--","00:00:45","00:00:52.7","113","113"
Hiking,2023-08-13 19:02:52,false,"Uludağ Backcountry Hiking Down","7.20","1,253","03:57:25","127","163","3.1","42","168","33:00","8:14","202","586","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","21.0","0:00","No","03:57:25.07","1","30.0","--","--","--","--","--","--","--","--","01:50:00","04:05:46","1,786","2,271"
Mountaineering,2023-08-13 12:18:59,false,"Uludağ Summit","6.98","1,499","04:00:26","136","172","3.9","39","229","1.7","8.0","519","511","0.75","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","24.0","0:00","No","04:00:26.38","1","34.0","--","--","--","--","--","--","--","--","01:51:21","05:05:41","2,207","2,539"
Hiking,2023-08-12 18:09:54,false,"Uludağ Backcountry Hiking up to Saklıgöl","6.96","2,205","06:20:17","137","184","4.7","25","173","54:39","1:09","628","224","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","19.0","0:00","No","37:46.58","4","30.0","--","--","--","--","--","--","--","--","01:25:50","06:40:17","1,775","2,307"
Indoor Climbing,2023-08-09 15:24:23,false,"Boulderhane #3","--","724","02:03:05","129","159","2.8","--","--","--","--","65","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","24","1:17:45","7","11","65","34","45:20","0:00","28.0","0:00","No","02:03:04.72","1","31.0","--","--","--","--","--","--","--","--","00:00:00","02:04:12","138","144"
Strength Training,2023-08-08 23:16:00,false,"Push and Lateral Chains","0.00","153","00:27:48","113","148","1.6","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","107","10","--","--","--","--","--","--","--","0:00","29.0","0:00","No","27:48.18","1","30.0","--","--","--","--","--","--","--","--","00:11:23","00:27:48","--","--"
Strength Training,2023-08-06 23:08:00,false,"Pull and Extension Chains","0.00","152","00:32:15","108","135","0.9","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","86","10","--","--","--","--","--","--","--","0:00","30.0","0:00","No","32:14.67","1","32.0","--","--","--","--","--","--","--","--","00:12:28","00:32:15","--","--"
Strength Training,2023-08-05 00:17:00,false,"Push and Flexion Chains","0.00","91","00:25:09","95","125","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","85","9","--","--","--","--","--","--","--","0:00","30.0","0:00","No","25:09.20","1","31.0","--","--","--","--","--","--","--","--","00:10:51","00:25:09","--","--"
Indoor Climbing,2023-08-03 17:08:30,false,"Boulderhane #2","--","1,120","03:23:08","130","163","3.1","--","--","--","--","55","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","31","1:38:01","6","12","55","46","1:45:07","0:00","29.0","0:00","No","03:23:08.25","1","33.0","--","--","--","--","--","--","--","--","00:00:00","03:23:08","130","136"
Strength Training,2023-08-01 22:16:31,false,"Pull + Extension Chains","0.00","149","00:29:32","109","136","0.9","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","115","12","--","--","--","--","--","--","--","0:00","30.0","0:00","No","29:31.79","1","31.0","--","--","--","--","--","--","--","--","00:13:06","00:29:32","--","--"
Walking,2023-07-31 21:57:25,false,"Sisli Walking","3.98","257","00:49:07","124","160","1.9","99","212","12:21","9:52","83","83","0.82","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","25.0","0:00","No","00:03.12","6","30.0","--","--","--","--","--","--","--","--","00:48:27","00:49:07","42","117"
Indoor Climbing,2023-07-30 16:54:13,false,"Boulderhane #1","--","924","02:36:34","134","172","3.3","--","--","--","--","54","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","28","51:49","5","13","54","25","1:44:45","0:00","28.0","0:00","No","02:36:34.13","1","32.0","--","--","--","--","--","--","--","--","00:00:00","02:36:34","134","140"
Strength Training,2023-07-29 20:01:13,false,"Pull + Flexion Chains","0.00","136","00:24:20","115","135","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","98","11","--","--","--","--","--","--","--","0:00","30.0","0:00","No","24:20.26","1","31.0","--","--","--","--","--","--","--","--","00:10:33","00:24:20","--","--"
Strength Training,2023-07-28 16:24:29,false,"Pull + Extension Chains","0.00","166","00:25:36","123","147","1.9","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","92","12","--","--","--","--","--","--","--","0:00","30.0","0:00","No","25:36.16","1","32.0","--","--","--","--","--","--","--","--","00:10:51","00:25:36","--","--"
